UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
P39325	ytfQ	34304.83484	3003	529	429	336	199	725	99	Carbohydrate transport and metabolism	ABC transporter periplasmic-binding protein ytfQ OS=Escherichia coli (strain K12) GN=ytfQ PE=1 SV=1	METABOLISM	G
P37051	purU	31896.52381	943	1139	1015	1357	2332	1676	2304	Nucleotide transport and metabolism	Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) GN=purU PE=1 SV=1	METABOLISM	F
P08331	cpdB	70769.81696	189	262	221	198	183	286	134	Nucleotide transport and metabolism	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) GN=cpdB PE=1 SV=2	METABOLISM	F
P11446	argC	35911.41235	813	833	1075	1243	1570	1047	1718	Amino acid transport and metabolism	N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1	METABOLISM	E
P16703	cysM	32625.48081	641	858	974	972	1181	1163	1533	Amino acid transport and metabolism	Cysteine synthase B OS=Escherichia coli (strain K12) GN=cysM PE=1 SV=1	METABOLISM	E
P29745	pepT	44876.79994	281	314	279	323	275	209	262	Amino acid transport and metabolism	Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2	METABOLISM	E
P0A821	selA	50557.49581	156	107	215	185	224	189	181	Amino acid transport and metabolism	L-seryl-tRNA(Sec) selenium transferase OS=Escherichia coli (strain K12) GN=selA PE=1 SV=1	METABOLISM	E
P30177	ybiB	35008.05566	726	602	453	495	642	455	716	Amino acid transport and metabolism	Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1	METABOLISM	E
P0A6L2	dapA	31232.09735	2319	2275	3317	3807	4928	4026	3589	Amino acid transport and metabolism	Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1	METABOLISM	EM
P37313	dppF	37518.44931	403	416	641	575	551	737	309	Amino acid transport and metabolism	Dipeptide transport ATP-binding protein DppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1	METABOLISM	E
P0AES0	gss	70469.40032	65	68	68	83	163	60	184	Amino acid transport and metabolism	Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1	METABOLISM	E
P77444	sufS	44387.51743	343	413	419	367	326	247	508	Amino acid transport and metabolism	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=sufS PE=1 SV=1	METABOLISM	E
P00909	trpC	49312.34103	477	334	653	616	813	465	804	Amino acid transport and metabolism	Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3	METABOLISM	E
P0AAG0	dppD	35803.4273	415	389	660	585	582	665	367	Amino acid transport and metabolism	Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1	METABOLISM	EP
P0AFD1	nuoE	18560.16361	908	785	1192	1398	1074	1356	748	Energy production and conversion	NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1	METABOLISM	C
P30178	ybiC	38854.31329	353	983	708	611	906	554	1634	Energy production and conversion	Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2	METABOLISM	C
P25906	ydbC	30668.76971	883	947	557	603	343	578	413	Energy production and conversion	Putative oxidoreductase YdbC OS=Escherichia coli (strain K12) GN=ydbC PE=1 SV=1	METABOLISM	C
P0ABA0	atpF	17235.28982	5249	5495	11267	9956	9158	8841	8988	Energy production and conversion	ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1	METABOLISM	C
P24232	hmp	43822.01281	54	44	85	84	130	106	149	Energy production and conversion	Flavohemoprotein OS=Escherichia coli (strain K12) GN=hmp PE=1 SV=1	METABOLISM	C
P28304	qorA	35132.52887	2085	1623	1119	1250	893	1018	871	Energy production and conversion	Quinone oxidoreductase 1 OS=Escherichia coli (strain K12) GN=qorA PE=1 SV=1	METABOLISM	CR
P25714	yidC	61468.37581	502	486	843	866	1091	729	842	Intracellular trafficking, secretion, and vesicular transport	Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	U
P0AED0	uspA	16038.13696	34691	42810	55564	33285	31448	24290	37520	Signal transduction mechanisms	Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P0AF28	narL	23893.68135	1186	1109	1041	1284	1063	1078	1239	Signal transduction mechanisms	Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P0A8I3	yaaA	29549.3024	387	432	570	599	835	538	803	Function unknown	UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1	POORLY CHARACTERIZED	S
P0A8E7	yajQ	18314.5428	7202	6357	8010	7733	8699	6753	10057	Function unknown	UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2	POORLY CHARACTERIZED	S
P0A8B5	ybaB	11988.91312	3434	3611	5501	5855	6422	5491	6880	Function unknown	UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1	POORLY CHARACTERIZED	S
P76097	ydcJ	50992.62968	98	55	50	84	44	65	43	Function unknown	Uncharacterized protein ydcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1	POORLY CHARACTERIZED	S
P43672	uup	72004.14163	77	95	106	111	157	116	156	General function prediction only	ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2	POORLY CHARACTERIZED	R
P33920	yejK	37781.14933	611	480	571	666	853	774	833	General function prediction only	Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3	POORLY CHARACTERIZED	R
P0ADR8	ygdH	50921.20064	197	183	161	231	209	223	199	General function prediction only	LOG family protein ygdH OS=Escherichia coli (strain K12) GN=ygdH PE=1 SV=1	POORLY CHARACTERIZED	R
P0A894	yhbJ	32453.73402	216	165	220	224	236	210	231	General function prediction only	UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1	POORLY CHARACTERIZED	R
P46853	yhhX	38722.71557	292	334	405	412	407	356	424	General function prediction only	Uncharacterized oxidoreductase yhhX OS=Escherichia coli (strain K12) GN=yhhX PE=1 SV=1	POORLY CHARACTERIZED	R
P31658	hchA	31152.59493	842	1217	344	602	462	527	628	General function prediction only	Chaperone protein hchA OS=Escherichia coli (strain K12) GN=hchA PE=1 SV=3	POORLY CHARACTERIZED	R
P0A9V1	lptB	26766.07681	1010	917	1415	1419	1308	1116	1635	General function prediction only	Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2	POORLY CHARACTERIZED	R
P33940	mqo	60173.82383	28	47	222	12	131	29	146	General function prediction only	Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2	POORLY CHARACTERIZED	R
P67087	rsmI	31310.56676	224	243	322	295	283	233	383	General function prediction only	Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rsmI PE=1 SV=1	POORLY CHARACTERIZED	R
P21367	ycaC	23067.81755	5615	1751	3071	2658	1622	3353	1884	Secondary metabolites biosynthesis, transport and catabolism	Uncharacterized protein ycaC OS=Escherichia coli (strain K12) GN=ycaC PE=1 SV=1	METABOLISM	Q
P04846	nlpA	29387.44815	947	1213	822	1555	1559	1059	1867	Inorganic ion transport and metabolism	Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1	METABOLISM	P
P31142	sseA	30774.59912	1352	1264	1616	1142	988	1346	821	Inorganic ion transport and metabolism	3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3	METABOLISM	P
P77318	ydeN	62745.09934	266	136	84	39	18	94	14	Inorganic ion transport and metabolism	Uncharacterized sulfatase ydeN OS=Escherichia coli (strain K12) GN=ydeN PE=3 SV=2	METABOLISM	P
P0AG82	pstS	36983.0841	296	230	425	464	380	393	305	Inorganic ion transport and metabolism	Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	METABOLISM	P
P07821	fhuC	28850.06916	33	50	32	127	NA	82	154	Inorganic ion transport and metabolism	Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3	METABOLISM	PH
P06610	btuE	20438.34628	1319	1221	736	1184	779	878	1158	Posttranslational modification, protein turnover, chaperones	Vitamin B12 transport periplasmic protein BtuE OS=Escherichia coli (strain K12) GN=btuE PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0AEG6	dsbC	25586.89691	364	475	1072	626	637	396	1421	Posttranslational modification, protein turnover, chaperones	Thiol:disulfide interchange protein DsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0AEG4	dsbA	23071.69653	2021	2134	3611	4309	4239	3224	4138	Posttranslational modification, protein turnover, chaperones	Thiol:disulfide interchange protein DsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P77522	sufB	54692.59648	443	215	273	255	311	246	266	Posttranslational modification, protein turnover, chaperones	FeS cluster assembly protein sufB OS=Escherichia coli (strain K12) GN=sufB PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P77499	sufC	27547.12225	521	394	619	530	641	451	628	Posttranslational modification, protein turnover, chaperones	Probable ATP-dependent transporter SufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0ACA7	gstB	23680.16535	617	802	597	594	432	339	627	Posttranslational modification, protein turnover, chaperones	Uncharacterized GST-like protein yliJ OS=Escherichia coli (strain K12) GN=yliJ PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0A9D2	gstA	22835.83157	872	856	872	787	579	615	685	Posttranslational modification, protein turnover, chaperones	Glutathione S-transferase OS=Escherichia coli (strain K12) GN=gst PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P04949	fliC	51246.56095	16	3	4	17	10	41	3	Cell motility	Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	N
P69776	lpp	8300.2889	37621	41895	40624	47094	53085	51325	48939	Cell wall/membrane/envelope biogenesis	Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P02919	mrcB	88815.91013	59	55	124	83	137	79	91	Cell wall/membrane/envelope biogenesis	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P17952	murC	53574.3631	242	321	397	342	398	361	435	Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P11880	murF	47399.59944	238	509	496	475	311	263	530	Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P0A912	pal	18794.22893	8638	12382	12231	16182	17602	16354	18234	Cell wall/membrane/envelope biogenesis	Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P60390	rsmH	34838.18791	302	308	430	332	439	354	374	Cell wall/membrane/envelope biogenesis	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P0ACB0	dnaB	52339.69889	108	162	131	128	164	129	207	Replication, recombination and repair	Replicative DNA helicase OS=Escherichia coli (strain K12) GN=dnaB PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P43329	hrpA	148917.1694	18	20	24	23	37	24	32	Replication, recombination and repair	ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3	INFORMATION STORAGE AND PROCESSING	L
P09030	xthA	30931.52872	467	441	502	504	440	478	658	Replication, recombination and repair	Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4	INFORMATION STORAGE AND PROCESSING	L
P0AF20	nagC	44495.56096	172	100	104	124	129	98	124	Transcription	N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1	INFORMATION STORAGE AND PROCESSING	KG
P0A7C2	lexA	22325.88481	512	479	442	626	662	637	560	Transcription	LexA repressor OS=Escherichia coli (strain K12) GN=lexA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	KT
P0AFM6	pspA	25459.21011	622	803	1106	1374	1160	847	934	Transcription	Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	KT
P23882	fmt	34128.84631	515	631	761	766	663	541	715	Translation, ribosomal structure and biogenesis	Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4	INFORMATION STORAGE AND PROCESSING	J
P60723	rplD	22054.85068	11310	8448	12278	17090	25286	17718	21084	Translation, ribosomal structure and biogenesis	50S ribosomal protein L4 OS=Escherichia coli (strain K12) GN=rplD PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0ADY3	rplN	13514.43986	4125	3744	4228	7100	8585	5727	7098	Translation, ribosomal structure and biogenesis	50S ribosomal protein L14 OS=Escherichia coli (strain K12) GN=rplN PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0AG44	rplQ	14337.64689	8663	6185	10104	14757	19454	12862	18397	Translation, ribosomal structure and biogenesis	50S ribosomal protein L17 OS=Escherichia coli (strain K12) GN=rplQ PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P60624	rplX	11291.29914	21417	18421	28362	35995	48202	34170	49826	Translation, ribosomal structure and biogenesis	50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0A7R5	rpsJ	11710.39634	15396	16172	22616	28416	33467	24910	39792	Translation, ribosomal structure and biogenesis	30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0A7S9	rpsM	13073.26157	12913	12255	14456	21550	23642	16007	23450	Translation, ribosomal structure and biogenesis	30S ribosomal protein S13 OS=Escherichia coli (strain K12) GN=rpsM PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0AEI4	rimO	49532.38803	74	112	132	179	213	183	326	Translation, ribosomal structure and biogenesis	Ribosomal protein S12 methylthiotransferase RimO OS=Escherichia coli (strain K12) GN=rimO PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P21151	fadA	40831.62496	1288	834	1044	508	353	962	425	Lipid transport and metabolism	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	METABOLISM	I
P0AET8	hdhA	26743.57852	318	363	200	234	211	255	197	Lipid transport and metabolism	7-alpha-hydroxysteroid dehydrogenase OS=Escherichia coli (strain K12) GN=hdhA PE=1 SV=1	METABOLISM	IQR
P76503	fadI	46483.14049	77	131	153	54	93	78	23	Lipid transport and metabolism	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1	METABOLISM	I
P77399	fadJ	77005.72935	37	97	108	35	34	44	24	Lipid transport and metabolism	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1	METABOLISM	I
P06983	hemC	33812.80201	188	135	223	436	187	197	224	Coenzyme transport and metabolism	Porphobilinogen deaminase OS=Escherichia coli (strain K12) GN=hemC PE=1 SV=2	METABOLISM	H
P0ACB7	hemY	45198.8272	139	125	200	176	161	170	144	Coenzyme transport and metabolism	Protein hemY OS=Escherichia coli (strain K12) GN=hemY PE=1 SV=1	METABOLISM	H
P11458	nadA	38198.18573	97	221	230	227	272	177	368	Coenzyme transport and metabolism	Quinolinate synthase A OS=Escherichia coli (strain K12) GN=nadA PE=1 SV=3	METABOLISM	H
P24186	folD	31006.32562	1125	1227	1375	1589	1769	1385	1861	Coenzyme transport and metabolism	Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4	METABOLISM	H
P0AEJ2	entC	42886.87981	20	73	84	61	73	56	193	Coenzyme transport and metabolism	Isochorismate synthase entC OS=Escherichia coli (strain K12) GN=entC PE=1 SV=1	METABOLISM	HQ
P17993	ubiG	26520.48429	538	975	869	1118	862	1062	1335	Coenzyme transport and metabolism	3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1	METABOLISM	H
P75913	ghrA	35303.17335	777	727	847	991	1073	981	1020	Coenzyme transport and metabolism	Glyoxylate/hydroxypyruvate reductase A OS=Escherichia coli (strain K12) GN=ghrA PE=1 SV=2	METABOLISM	HE
P0A7Z0	rpiA	22827.97901	1956	2367	2578	2446	2279	2175	2758	Carbohydrate transport and metabolism	Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) GN=rpiA PE=1 SV=1	METABOLISM	G
P46130	ybhC	46035.84719	698	797	1360	1100	1255	1109	1377	Carbohydrate transport and metabolism	Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2	METABOLISM	G
P76143	lsrF	31854.09188	250	266	106	67	176	253	88	Carbohydrate transport and metabolism	Uncharacterized aldolase lsrF OS=Escherichia coli (strain K12) GN=lsrF PE=1 SV=1	METABOLISM	G
P0ADG4	suhB	29135.97683	594	730	749	981	1116	827	1439	Carbohydrate transport and metabolism	Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1	METABOLISM	G
P08178	purM	36812.62949	1752	1193	2786	2295	2376	1827	2544	Nucleotide transport and metabolism	Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3	METABOLISM	F
P08244	pyrF	26315.46192	781	586	948	1239	1516	1255	1507	Nucleotide transport and metabolism	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1	METABOLISM	F
P00452-2	nrdA	82789.58209	8	5	9	25	NA	9	28	Nucleotide transport and metabolism	Isoform Alpha' of Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA	METABOLISM	F
P12008	aroC	39094.99499	613	518	638	690	774	676	798	Amino acid transport and metabolism	Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4	METABOLISM	E
P0A6J5	dadA	47559.0476	83	163	172	86	259	135	51	Amino acid transport and metabolism	D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1	METABOLISM	E
P00926	dsdA	47852.13812	15	28	22	29	23	16	67	Amino acid transport and metabolism	D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3	METABOLISM	E
P30126	leuD	22455.24259	5225	6651	3651	5192	5500	6295	5119	Amino acid transport and metabolism	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	METABOLISM	E
P31133	potF	40795.98173	3486	2600	4070	4361	3279	3170	3029	Amino acid transport and metabolism	Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3	METABOLISM	E
P00547	thrB	33583.89194	305	380	841	442	712	400	594	Amino acid transport and metabolism	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	METABOLISM	E
P0A6D7	aroK	19508.09251	809	887	1058	1222	1555	1300	2112	Amino acid transport and metabolism	Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2	METABOLISM	E
P0ADF8	ilvN	11080.60733	1382	1846	634	2203	1604	1781	1075	Amino acid transport and metabolism	Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1	METABOLISM	E
P75823	ltaE	36453.59645	385	449	333	368	340	379	316	Amino acid transport and metabolism	Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1	METABOLISM	E
Q46863	ygiS	60638.16307	71	113	96	75	NA	123	47	Amino acid transport and metabolism	Putative binding protein ygiS OS=Escherichia coli (strain K12) GN=ygiS PE=1 SV=1	METABOLISM	E
P76027	oppD	37145.94441	83	84	165	142	130	153	144	Amino acid transport and metabolism	Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2	METABOLISM	EP
P30860	artJ	26794.65139	4041	3130	4398	5092	5880	3875	9359	Amino acid transport and metabolism	ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2	METABOLISM	ET
